"Geo","Year","PaydHhProp"
1,2019,0
2,2019,0
3,2019,0
4,2019,0
5,2019,0
6,2019,0
7,2019,0
8,2019,0
9,2019,0
10,2019,0
11,2019,0
12,2019,0
13,2019,0
14,2019,0
15,2019,0
16,2019,0
17,2019,0
18,2019,0
19,2019,0
20,2019,0
21,2019,0
22,2019,0
23,2019,0
24,2019,0
25,2019,0
26,2019,0
27,2019,0
28,2019,0
29,2019,0
30,2019,0
31,2019,0
32,2019,0
33,2019,0
34,2019,0
35,2019,0
36,2019,0
37,2019,0
38,2019,0
39,2019,0
40,2019,0
41,2019,0
42,2019,0
43,2019,0
44,2019,0
45,2019,0
46,2019,0
47,2019,0
48,2019,0
49,2019,0
50,2019,0
51,2019,0
52,2019,0
53,2019,0
54,2019,0
55,2019,0
56,2019,0
57,2019,0
58,2019,0
59,2019,0
60,2019,0
61,2019,0
62,2019,0
63,2019,0
64,2019,0
65,2019,0
66,2019,0
67,2019,0
68,2019,0
69,2019,0
70,2019,0
71,2019,0
72,2019,0
73,2019,0
74,2019,0
75,2019,0
76,2019,0
77,2019,0
78,2019,0
79,2019,0
80,2019,0
1,2050,0
2,2050,0
3,2050,0
4,2050,0
5,2050,0
6,2050,0
7,2050,0
8,2050,0
9,2050,0
10,2050,0
11,2050,0
12,2050,0
13,2050,0
14,2050,0
15,2050,0
16,2050,0
17,2050,0
18,2050,0
19,2050,0
20,2050,0
21,2050,0
22,2050,0
23,2050,0
24,2050,0
25,2050,0
26,2050,0
27,2050,0
28,2050,0
29,2050,0
30,2050,0
31,2050,0
32,2050,0
33,2050,0
34,2050,0
35,2050,0
36,2050,0
37,2050,0
38,2050,0
39,2050,0
40,2050,0
41,2050,0
42,2050,0
43,2050,0
44,2050,0
45,2050,0
46,2050,0
47,2050,0
48,2050,0
49,2050,0
50,2050,0
51,2050,0
52,2050,0
53,2050,0
54,2050,0
55,2050,0
56,2050,0
57,2050,0
58,2050,0
59,2050,0
60,2050,0
61,2050,0
62,2050,0
63,2050,0
64,2050,0
65,2050,0
66,2050,0
67,2050,0
68,2050,0
69,2050,0
70,2050,0
71,2050,0
72,2050,0
73,2050,0
74,2050,0
75,2050,0
76,2050,0
77,2050,0
78,2050,0
79,2050,0
80,2050,0
